cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
26900,"Indianapolis-Carmel-Anderson, IN",1836003,Indianapolis city (balance),2010,820445,0,820445,0,130,-1e-4
26980,"Iowa City, IA",1938595,Iowa City city,2010,67862,0,67862,0,30,-1e-4
27060,"Ithaca, NY",3638077,Ithaca city,2010,30014,0,30014,0,0,-1e-4
27100,"Jackson, MI",2641420,Jackson city,1930,55187,8,33534,0.3923568956457137,80,0.3923568956457137
27140,"Jackson, MS",2836000,Jackson city,1980,202895,3,173514,0.14480889129845487,70,0.14480889129845487
27180,"Jackson, TN",4737640,Jackson city,2010,65211,0,65211,0,10,-1e-4
27260,"Jacksonville, FL",1235000,Jacksonville city,2010,821784,0,821784,0,100,-1e-4
27340,"Jacksonville, NC",3734200,Jacksonville city,2010,70145,0,70145,0,10,-1e-4
27500,"Janesville-Beloit, WI",5537825,Janesville city,2010,63575,0,63575,0,30,-1e-4
27620,"Jefferson City, MO",2937000,Jefferson City city,2010,43079,0,43079,0,0,-1e-4
27740,"Johnson City, TN",4738320,Johnson City city,2010,63152,0,63152,0,10,-1e-4
27780,"Johnstown, PA",4238288,Johnstown city,1920,67327,9,20978,0.688416237170823,100,0.688416237170823
27860,"Jonesboro, AR",535710,Jonesboro city,2010,67263,0,67263,0,10,-1e-4
27900,"Joplin, MO",2937592,Joplin city,2010,50150,0,50150,0,0,-1e-4
27980,"Kahului-Wailuku-Lahaina, HI",1522700,Kahului CDP,2010,26337,0,26337,0,0,-1e-4
28020,"Kalamazoo-Portage, MI",2642160,Kalamazoo city,1970,85555,4,74262,0.1319969610192274,80,0.1319969610192274
28100,"Kankakee, IL",1738934,Kankakee city,1980,29633,3,27537,0.07073195424020517,0,0.07073195424020517
28140,"Kansas City, MO-KS",2938000,Kansas City city,1970,507087,4,459787,0.09327787933825951,130,0.09327787933825951
28420,"Kennewick-Richland, WA",5335275,Kennewick city,2010,73917,0,73917,0,10,-1e-4
28660,"Killeen-Temple, TX",4839148,Killeen city,2010,127921,0,127921,0,20,-1e-4
28700,"Kingsport-Bristol-Bristol, TN-VA",4739560,Kingsport city,2010,48205,0,48205,0,0,-1e-4
28740,"Kingston, NY",3639727,Kingston city,1960,29260,5,23893,0.18342447026657552,0,0.18342447026657552
28940,"Knoxville, TN",4740000,Knoxville city,2010,178874,0,178874,0,90,-1e-4
29020,"Kokomo, IN",1840392,Kokomo city,1980,47808,3,45468,0.04894578313253012,0,0.04894578313253012
29100,"La Crosse-Onalaska, WI-MN",5540775,La Crosse city,2000,51818,1,51320,0.00961056003705276,40,0.00961056003705276
29180,"Lafayette, LA",2240735,Lafayette city,2010,120623,0,120623,0,40,-1e-4
29200,"Lafayette-West Lafayette, IN",1840788,Lafayette city,2010,67140,0,67140,0,10,-1e-4
29340,"Lake Charles, LA",2241155,Lake Charles city,1970,77998,4,71993,0.0769891535680402,50,0.0769891535680402
29420,"Lake Havasu City-Kingman, AZ",439370,Lake Havasu City city,2010,52527,0,52527,0,0,-1e-4
29460,"Lakeland-Winter Haven, FL",1238250,Lakeland city,2010,97422,0,97422,0,20,-1e-4
29540,"Lancaster, PA",4241216,Lancaster city,1950,63774,6,59322,0.06980901307742968,90,0.06980901307742968
29620,"Lansing-East Lansing, MI",2646000,Lansing city,1970,131403,4,114297,0.130179676263099,90,0.130179676263099
29700,"Laredo, TX",4841464,Laredo city,2010,236091,0,236091,0,60,-1e-4
29740,"Las Cruces, NM",3539380,Las Cruces city,2010,97618,0,97618,0,20,-1e-4
29820,"Las Vegas-Henderson-Paradise, NV",3240000,Las Vegas city,2010,583756,0,583756,0,50,-1e-4
29940,"Lawrence, KS",2038900,Lawrence city,2010,87643,0,87643,0,30,-1e-4
30020,"Lawton, OK",4041850,Lawton city,2010,96867,0,96867,0,50,-1e-4
30140,"Lebanon, PA",4242168,Lebanon city,1960,30045,5,25477,0.15203860875353636,0,0.15203860875353636
30300,"Lewiston, ID-WA",1646540,Lewiston city,2010,31894,0,31894,0,0,-1e-4
30340,"Lewiston-Auburn, ME",2338740,Lewiston city,1970,41779,4,36592,0.12415328274970679,0,0.12415328274970679
30460,"Lexington-Fayette, KY",2146027,Lexington-Fayette,2010,295803,0,295803,0,60,-1e-4
