cbsa_fips,name,bldgs,strct,sites,objct,dists,hist_reg
40380,"Rochester, NY",57,8,2,0,14,81
40420,"Rockford, IL",1,1,1,0,0,3
40580,"Rocky Mount, NC",11,1,1,0,0,13
40660,"Rome, GA",9,1,0,0,1,11
40900,"Sacramento--Roseville--Arden-Arcade, CA",7,5,5,0,11,28
40980,"Saginaw, MI",1,6,0,0,0,7
41060,"St. Cloud, MN",1,0,0,0,1,2
41100,"St. George, UT",0,25,2,1,3,31
41140,"St. Joseph, MO-KS",0,1,0,1,4,6
41180,"St. Louis, MO-IL",15,13,2,0,37,67
41420,"Salem, OR",2,2,1,0,2,7
41500,"Salinas, CA",1,1,1,0,2,5
41540,"Salisbury, MD-DE",41,11,3,1,5,61
41620,"Salt Lake City, UT",4,2,3,2,3,14
41660,"San Angelo, TX",0,1,0,0,0,1
41700,"San Antonio-New Braunfels, TX",9,9,2,2,4,26
41740,"San Diego-Carlsbad, CA",9,6,2,0,2,19
41860,"San Francisco-Oakland-Hayward, CA",9,18,8,2,19,56
41940,"San Jose-Sunnyvale-Santa Clara, CA",2,3,0,0,6,11
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",1,0,1,0,1,3
42100,"Santa Cruz-Watsonville, CA",1,2,1,0,4,8
42140,"Santa Fe, NM",2,4,1,1,3,11
42200,"Santa Maria-Santa Barbara, CA",1,1,0,0,3,5
42220,"Santa Rosa, CA",4,1,1,0,3,9
42340,"Savannah, GA",2,0,0,0,6,8
42540,"Scranton--Wilkes-Barre--Hazleton, PA",3,6,1,1,0,11
42660,"Seattle-Tacoma-Bellevue, WA",14,57,4,2,6,83
42680,"Sebastian-Vero Beach, FL",1,0,0,0,2,3
43100,"Sheboygan, WI",3,0,1,0,1,5
