cbsa_fips,cbsa,pop_2005,pop_2015
40060,"Richmond, VA (Metropolitan Statistical Area) *",1116391,1246678
40140,"Riverside-San Bernardino-Ontario, CA (Metropolitan Statistical Area)",3875709,4465232
40220,"Roanoke, VA (Metropolitan Statistical Area) *",296405,313205
40340,"Rochester, MN (Metropolitan Statistical Area)",197188,213859
40380,"Rochester, NY (Metropolitan Statistical Area)",1070418,1076800
40420,"Rockford, IL (Metropolitan Statistical Area)",335903,340828
40580,"Rocky Mount, NC (Metropolitan Statistical Area)",147027,147549
40660,"Rome, GA (Metropolitan Statistical Area)",94332,96200
40900,"Sacramento-Roseville-Folsom, CA (Metropolitan Statistical Area)",2034850,2264065
40980,"Saginaw, MI (Metropolitan Statistical Area)",207368,193314
41060,"St. Cloud, MN (Metropolitan Statistical Area)",179222,195302
41100,"St. George, UT (Metropolitan Statistical Area)",119000,154680
41140,"St. Joseph, MO-KS (Metropolitan Statistical Area)",123484,126807
41180,"St. Louis, MO-IL (Metropolitan Statistical Area)",2730316,2807498
41420,"Salem, OR (Metropolitan Statistical Area)",368046,408278
41500,"Salinas, CA (Metropolitan Statistical Area)",405139,431241
41540,"Salisbury, MD-DE (Metropolitan Statistical Area)",345704,393535
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",997221,1165246
41660,"San Angelo, TX (Metropolitan Statistical Area)",107785,120380
41700,"San Antonio-New Braunfels, TX (Metropolitan Statistical Area)",1896328,2380630
41740,"San Diego-Chula Vista-Carlsbad, CA (Metropolitan Statistical Area)",2938375,3284061
41860,"San Francisco-Oakland-Berkeley, CA (Metropolitan Statistical Area)",4137858,4649539
41940,"San Jose-Sunnyvale-Santa Clara, CA (Metropolitan Statistical Area)",1729959,1975724
42020,"San Luis Obispo-Paso Robles, CA (Metropolitan Statistical Area)",258615,280171
42100,"Santa Cruz-Watsonville, CA (Metropolitan Statistical Area)",251377,273730
42140,"Santa Fe, NM (Metropolitan Statistical Area)",137610,148206
42200,"Santa Maria-Santa Barbara, CA (Metropolitan Statistical Area)",408079,442522
42220,"Santa Rosa-Petaluma, CA (Metropolitan Statistical Area)",465938,501346
42340,"Savannah, GA (Metropolitan Statistical Area)",314528,377837
42540,"Scranton--Wilkes-Barre, PA (Metropolitan Statistical Area)",556652,557690
42660,"Seattle-Tacoma-Bellevue, WA (Metropolitan Statistical Area)",3198265,3738316
42680,"Sebastian-Vero Beach, FL (Metropolitan Statistical Area)",127955,147478
42700,"Sebring-Avon Park, FL (Metropolitan Statistical Area)",95614,100222
43100,"Sheboygan, WI (Metropolitan Statistical Area)",114454,115239
43300,"Sherman-Denison, TX (Metropolitan Statistical Area)",115666,125647
43340,"Shreveport-Bossier City, LA (Metropolitan Statistical Area)",383099,404049
43420,"Sierra Vista-Douglas, AZ (Metropolitan Statistical Area)",125786,126502
43580,"Sioux City, IA-NE-SD (Metropolitan Statistical Area)",139860,143740
43620,"Sioux Falls, SD (Metropolitan Statistical Area)",206605,250053
43780,"South Bend-Mishawaka, IN-MI (Metropolitan Statistical Area)",317221,319543
43900,"Spartanburg, SC (Metropolitan Statistical Area)",264481,296580
44060,"Spokane-Spokane Valley, WA (Metropolitan Statistical Area)",482051,532293
44100,"Springfield, IL (Metropolitan Statistical Area)",204988,211239
44140,"Springfield, MA (Metropolitan Statistical Area)",688409,700900
44180,"Springfield, MO (Metropolitan Statistical Area)",402883,455512
44220,"Springfield, OH (Metropolitan Statistical Area)",141367,135740
44300,"State College, PA (Metropolitan Statistical Area)",145543,160442
44420,"Staunton, VA (Metropolitan Statistical Area) *",114085,120070
44700,"Stockton, CA (Metropolitan Statistical Area)",656985,721929
44940,"Sumter, SC (Metropolitan Statistical Area)",139929,141151
45060,"Syracuse, NY (Metropolitan Statistical Area)",655021,657633
45220,"Tallahassee, FL (Metropolitan Statistical Area)",344257,377671
45300,"Tampa-St. Petersburg-Clearwater, FL (Metropolitan Statistical Area)",2651580,2969251
45460,"Terre Haute, IN (Metropolitan Statistical Area)",188030,187407
45500,"Texarkana, TX-AR (Metropolitan Statistical Area)",144534,149827
45540,"The Villages, FL (Metropolitan Statistical Area)",69261,117070
45780,"Toledo, OH (Metropolitan Statistical Area)",658448,645936
45820,"Topeka, KS (Metropolitan Statistical Area)",228208,233580
45940,"Trenton-Princeton, NJ (Metropolitan Statistical Area)",362015,368352
46060,"Tucson, AZ (Metropolitan Statistical Area)",920298,1009737
46140,"Tulsa, OK (Metropolitan Statistical Area)",882861,981521
46220,"Tuscaloosa, AL (Metropolitan Statistical Area)",222220,249039
46300,"Twin Falls, ID (Metropolitan Statistical Area)",89487,105236
46340,"Tyler, TX (Metropolitan Statistical Area)",191362,222447
46520,"Urban Honolulu, HI (Metropolitan Statistical Area)",918181,991339
46540,"Utica-Rome, NY (Metropolitan Statistical Area)",298574,293888
46660,"Valdosta, GA (Metropolitan Statistical Area)",126411,143329
46700,"Vallejo, CA (Metropolitan Statistical Area)",408181,433708
47020,"Victoria, TX (Metropolitan Statistical Area)",91523,99688
47220,"Vineland-Bridgeton, NJ (Metropolitan Statistical Area)",152022,154838
47260,"Virginia Beach-Norfolk-Newport News, VA-NC (Metropolitan Statistical Area) *",1684092,1756577
47300,"Visalia, CA (Metropolitan Statistical Area)",407970,457803
47380,"Waco, TX (Metropolitan Statistical Area)",240784,262754
47460,"Walla Walla, WA (Metropolitan Statistical Area)",56569,59976
47580,"Warner Robins, GA (Metropolitan Statistical Area)",150957,176267
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",5286683,6095511
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",163260,170855
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",113486,116403
48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",158560,163147
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",127464,120662
48300,"Wenatchee, WA (Metropolitan Statistical Area)",103369,115682
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",149438,144144
48620,"Wichita, KS (Metropolitan Statistical Area)",588021,635623
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",151152,150149
48700,"Williamsport, PA (Metropolitan Statistical Area)",117530,115576
48900,"Wilmington, NC (Metropolitan Statistical Area)",230897,276895
49020,"Winchester, VA-WV (Metropolitan Statistical Area) *",117847,134297
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",602805,656352
