Rank,RO,ST,Locid,City,Airport Name,Svc Lvl,Hub,CY 05 Enplanements,LAT,LON
27,SO,FL,TPA,Tampa,Tampa International,P,L,9297643,100711.7000N,297119.7000W
28,WP,CA,SAN,San Diego,San Diego International,P,L,8628648,117840.8000N,421882.8000W
29,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,8623907,139865.2000N,277335.8000W
30,GL,IL,MDW,Chicago,Chicago Midway International,P,L,8383698,150429.5000N,315908.7000W
31,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,7071534,135796.5000N,439996.1000W
32,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6847228,139495.3100N,325332.1040W
33,NM,OR,PDX,Portland,Portland International,P,M,6798976,164119.3519N,441348.7299W
34,SO,TN,MEM,Memphis,Memphis International,P,M,5630305,126152.6810N,323916.0450W
35,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,5529629,149073.9000N,294676.9000W
36,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,5336690,066381.8370N,237607.6800W
37,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,5309992,134506.7810N,438943.0340W
38,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,5198442,145769.1000N,288837.7000W
39,WP,CA,SMF,Sacramento,Sacramento International,P,M,5108364,139303.6000N,437726.8000W
40,CE,MO,MCI,Kansas City,Kansas City International,P,M,5063120,141471.4000N,340970.0000W
41,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4791786,121232.4000N,424325.6000W
42,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4723989,129159.5000N,283634.9000W
43,SO,TN,BNA,Nashville,Nashville International,P,M,4563251,130048.1000N,312041.4000W
44,GL,IN,IND,Indianapolis,Indianapolis International,P,M,4221085,142982.3000N,310660.7000W
45,SW,TX,HOU,Houston,William P Hobby,P,M,3961642,106723.5000N,343004.0000W
46,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,3912884,107975.8000N,324932.5000W
47,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3701665,095530.2000N,294318.6000W
48,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,3645956,108700.2980N,351611.5540W
49,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3617453,150980.9000N,261660.1000W
50,SW,TX,SAT,San Antonio,San Antonio International,P,M,3604665,106322.2488N,354488.6054W
51,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3602536,154609.0000N,316429.4000W
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3496936,096059.3820N,288344.1310W
53,WP,CA,ONT,Ontario,Ontario International,P,M,3458935,122601.6000N,423364.3000W
54,GL,OH,CMH,Columbus,Port Columbus International,P,M,3281452,143989.0100N,298411.7800W
55,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,3169861,126140.1536N,383789.7438W
56,SW,TX,DAL,Dallas,Dallas Love Field,P,M,2949256,118245.4010N,348663.1560W
57,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2890298,109778.6000N,294076.2000W
58,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,2846002,150200.4000N,257139.8000W
59,WP,HI,OGG,Kahului,Kahului,P,M,2843845,075235.1510N,563149.6360W
60,WP,CA,BUR,Burbank,Bob Hope,P,M,2761184,123122.5000N,426091.2000W
61,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,2510458,142196.8000N,431165.2000W
62,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2436952,154585.5000N,283430.1000W
63,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2430081,220226.7050N,539993.2950W
64,NE,NH,MHT,Manchester,Manchester,P,M,2149035,154558.1000N,257168.7000W
65,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2052234,148691.4000N,345218.6000W
66,WP,AZ,TUS,Tucson,Tucson International,P,M,2050377,115617.8490N,399387.6500W
67,EA,VA,ORF,Norfolk,Norfolk International,P,M,1953003,132820.5750N,274324.4250W
68,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,M,1862017,137426.7090N,308651.3960W
69,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1773522,127415.0665N,351362.7422W
