cbsa_fips,cbsa,inc_2005,inc_2015
47460,"Walla Walla, WA (Metropolitan Statistical Area)",27954,41663
47580,"Warner Robins, GA (Metropolitan Statistical Area)",30641,38984
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV (Metropolitan Statistical Area) *",51631,66050
47940,"Waterloo-Cedar Falls, IA (Metropolitan Statistical Area)",30566,41933
48060,"Watertown-Fort Drum, NY (Metropolitan Statistical Area)",30910,43179
48140,"Wausau-Weston, WI (Metropolitan Statistical Area)",32792,44418
48260,"Weirton-Steubenville, WV-OH (Metropolitan Statistical Area)",26456,36578
48300,"Wenatchee, WA (Metropolitan Statistical Area)",28503,43991
48540,"Wheeling, WV-OH (Metropolitan Statistical Area)",29626,40290
48620,"Wichita, KS (Metropolitan Statistical Area)",32979,47384
48660,"Wichita Falls, TX (Metropolitan Statistical Area)",30281,40878
48700,"Williamsport, PA (Metropolitan Statistical Area)",28403,40489
48900,"Wilmington, NC (Metropolitan Statistical Area)",32723,40521
49020,"Winchester, VA-WV (Metropolitan Statistical Area) *",33181,43333
49180,"Winston-Salem, NC (Metropolitan Statistical Area)",32882,41170
49340,"Worcester, MA-CT (Metropolitan Statistical Area)",36799,50445
49420,"Yakima, WA (Metropolitan Statistical Area)",25890,39322
49620,"York-Hanover, PA (Metropolitan Statistical Area)",36096,44790
