cbsa_fips,cbsa,population_2015,clusterm_10,clusterm_18
48660,"Wichita Falls, TX",150149,1,1
45500,"Texarkana, TX-AR",149827,1,1
17660,"Coeur d'Alene, ID",149395,5,6
33780,"Monroe, MI",149386,5,9
25620,"Hattiesburg, MS",148655,6,10
24300,"Grand Junction, CO",148227,5,6
42140,"Santa Fe, NM",148206,5,6
21060,"Elizabethtown-Fort Knox, KY",148184,1,1
20020,"Dothan, AL",148010,1,1
40580,"Rocky Mount, NC",147549,1,1
42680,"Sebastian-Vero Beach, FL",147478,9,13
22520,"Florence-Muscle Shoals, AL",146847,1,1
48540,"Wheeling, WV-OH",144144,2,5
46660,"Valdosta, GA",143329,1,1
39660,"Rapid City, SD",143284,5,6
19140,"Dalton, GA",143127,1,1
34900,"Napa, CA",141096,10,16
26820,"Idaho Falls, ID",139620,5,6
22380,"Flagstaff, AZ",139024,6,10
34060,"Morgantown, WV",138550,6,10
30140,"Lebanon, PA",137491,5,9
29100,"La Crosse-Onalaska, WI-MN",136407,5,9
27780,"Johnstown, PA",136029,2,5
44220,"Springfield, OH",135740,2,5
48140,"Wausau, WI",135289,5,9
12980,"Battle Creek, MI",134339,5,9
49020,"Winchester, VA-WV",134297,1,1
30860,"Logan, UT-ID",132728,6,10
25500,"Harrisonburg, VA",131208,1,1
30020,"Lawton, OK",130038,1,1
13900,"Bismarck, ND",129661,5,6
27180,"Jackson, TN",129276,1,1
27860,"Jonesboro, AR",128435,1,1
22140,"Farmington, NM",128261,7,11
38340,"Pittsfield, MA",127857,5,9
41140,"St. Joseph, MO-KS",126807,2,5
24020,"Glens Falls, NY",126636,5,9
43300,"Sherman-Denison, TX",125647,1,1
11020,"Altoona, PA",124585,2,5
24140,"Goldsboro, NC",124428,1,1
31900,"Mansfield, OH",121702,2,5
34580,"Mount Vernon-Anacortes, WA",121604,5,6
48260,"Weirton-Steubenville, WV-OH",120662,2,5
17420,"Cleveland, TN",120485,1,1
41660,"San Angelo, TX",119044,1,1
29940,"Lawrence, KS",118222,6,7
36980,"Owensboro, KY",117565,1,1
34100,"Morristown, TN",116356,1,1
15260,"Brunswick, GA",115822,2,5
34620,"Muncie, IN",115765,2,5
48300,"Wenatchee, WA",115682,5,6
48700,"Williamsport, PA",115576,5,9
11500,"Anniston-Oxford-Jacksonville, AL",115536,2,5
43100,"Sheboygan, WI",115239,5,9
33540,"Missoula, MT",114114,6,7
28100,"Kankakee, IL",111758,5,9
33140,"Michigan City-La Porte, IN",110853,2,5
19500,"Decatur, IL",107363,2,5
44940,"Sumter, SC",107173,1,1
30340,"Lewiston-Auburn, ME",107155,5,9
13020,"Bay City, MI",105281,2,5
30620,"Lima, OH",104069,2,5
31020,"Longview, WA",103050,5,6
27060,"Ithaca, NY",103018,6,7
23460,"Gadsden, AL",103003,2,5
22540,"Fond du Lac, WI",101951,5,9
24220,"Grand Forks, ND-MN",101881,6,7
19060,"Cumberland, MD-WV",99846,2,5
47020,"Victoria, TX",99688,1,1
26300,"Hot Springs, AR",97816,9,13
16940,"Cheyenne, WY",97006,5,6
20220,"Dubuque, IA",96884,5,9
11180,"Ames, IA",96605,6,7
40660,"Rome, GA",96200,1,1
36140,"Ocean City, NJ",94180,9,18
38220,"Pine Bluff, AR",94018,1,1
37620,"Parkersburg-Vienna, WV",92131,2,5
18700,"Corvallis, OR",88270,6,7
21300,"Elmira, NY",86718,2,5
38540,"Pocatello, ID",84216,5,6
29020,"Kokomo, IN",82340,5,9
16220,"Casper, WY",82123,5,6
24500,"Great Falls, MT",81887,1,1
18020,"Columbus, IN",81473,5,9
25980,"Hinesville, GA",79286,1,1
19180,"Danville, IL",79173,2,5
30300,"Lewiston, ID-WA",62102,5,6
16180,"Carson City, NV",54069,5,6
