cbsa_fips,name,clusterz_5,clusterz_13,clusterz_11,clusterz_8,clusterm_5,clusterm_13,clusterm_11,clusterm_8
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",2,2,2,2,1,2,2,2
15500,"Burlington, NC",1,3,3,1,1,5,5,1
15540,"Burlington-South Burlington, VT",3,8,7,4,1,1,1,1
15940,"Canton-Massillon, OH",2,2,2,2,1,2,2,2
15980,"Cape Coral-Fort Myers, FL",3,5,5,4,1,1,1,1
16180,"Carson City, NV",1,1,1,1,1,1,1,1
16220,"Casper, WY",2,6,6,3,1,1,1,1
16300,"Cedar Rapids, IA",2,6,6,3,1,1,1,1
16580,"Champaign-Urbana, IL",1,1,1,1,1,3,3,1
16620,"Charleston, WV",2,7,2,2,1,2,2,2
16700,"Charleston-North Charleston, SC",1,1,1,1,1,1,1,1
16740,"Charlotte-Concord-Gastonia, NC-SC",3,5,5,4,2,6,6,3
16820,"Charlottesville, VA",3,8,7,4,1,1,1,1
16860,"Chattanooga, TN-GA",1,1,1,1,1,1,1,1
16940,"Cheyenne, WY",2,6,6,3,1,1,1,1
16980,"Chicago-Naperville-Elgin, IL-IN-WI",5,11,10,7,3,11,9,6
17020,"Chico, CA",1,1,1,1,1,1,1,1
17140,"Cincinnati, OH-KY-IN",2,2,2,2,1,2,2,2
17300,"Clarksville, TN-KY",1,3,3,1,1,3,3,1
17420,"Cleveland, TN",1,3,3,1,1,3,3,1
17460,"Cleveland-Elyria, OH",2,2,2,2,2,6,6,3
17660,"Coeur d'Alene, ID",1,1,1,1,1,1,1,1
17780,"College Station-Bryan, TX",1,1,1,1,1,3,3,1
17820,"Colorado Springs, CO",3,8,7,4,1,1,1,1
17860,"Columbia, MO",3,8,7,4,1,1,1,1
17900,"Columbia, SC",1,1,1,1,1,1,1,1
17980,"Columbus, GA-AL",1,3,3,1,1,3,3,1
18020,"Columbus, IN",1,3,3,1,1,2,2,2
18140,"Columbus, OH",1,1,1,1,1,1,1,1
